objectid,title,filename,format,creator,date,datecreated,description,subject,location,latitude,longitude,source,type,rights,creativecommons,rightsnotes,citation,archivedpage
perez_image_seedseparation_002,Working with Seed Separation Equipment Img. 2,perez_image_seedseparation_002.jpeg,image/jpeg,OSC News Bureau Photo,1959,1959,A black and white photo depicting a man kneeling next to a machine rotating pine cones while examining something in his hand and two other men standing in the room behind the machine with their backs to the camera.,Workers; Foresters; Forests and forestry—Equipment and supplies; Conifers; Seeds—Cleaning—Equipment and supplies,Corvallis (inhabited place),44.5645659,-123.2620435,"<a href=""https://www.oregondigital.org/concern/images/df736r18g"" target""_blank""> OSU Special Collections & Archives Research Center - Oregon Digital</a>",Image; Still Image,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>",,,"""Working with Seed Separation Equipment Img. 2,"" OSC News Bureau Photo. 1959, Oregon Digital, Oregon. Oregon Digital, Gwil Evans Photographic Collection, 1930-1968 (P 082), <a href='https://www.oregondigital.org/concern/images/df736r18g' target='_blank'>https://www.oregondigital.org/concern/images/df736r18g</a>","<a href=""http://web.archive.org/web/20230522004824/https://www.oregondigital.org/concern/images/df736r18g"" target=""_blank"">Archived Page</a>"
perez_image_seedseparation_003,Working with Seed Separation Equipment Img. 3,perez_image_seedseparation_003.jpeg,image/jpeg,OSC News Bureau Photo,1959,1959,"A black and white photo depicting a man pouring pine cones into a machine surrounded with other machines behind him in the room and more pine cones on the floor, as well as another man standing in the doorway to the room with another bag simialr looking to the one being poured into the macine.",Workers; Foresters; Forests and forestry—Equipment and supplies; Conifers; Seeds—Cleaning—Equipment and supplies,Corvallis (inhabited place),44.5645659,-123.2620435,"<a href=""https://www.oregondigital.org/concern/images/df736r19r"" target""_blank"">OSU Special Collections & Archives Research Center - Oregon Digital</a>",Image; Still Image,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>",,,"""Working with Seed Separation Equipment Img. 3,"" OSC News Bureau Photo. 1959, Oregon Digital, Oregon. Oregon Digital, Gwil Evans Photographic Collection, 1930-1968 (P 082), <a href='https://www.oregondigital.org/concern/images/df736r19r' target='_blank'>https://www.oregondigital.org/concern/images/df736r19r</a>","<a href=""http://web.archive.org/web/20230522005027/https://www.oregondigital.org/concern/images/df736r19r"" target=""_blank"">Archived Page</a>"
staggs_image_familylogginghouse,Family in front of a house in a logging camp,staggs_image_familylogginghouse.jpg,image/jpeg,John Fletcher Ford,1910,1910,"A family in front of a log cabin at a lumber camp in the lower Columbia River region. There is a mother, father, son and dog. The son is holding a gun.",Lumber Camps; Workers,Multnomah (county),45.5145659,-122.5863211,"<a href=""https://oregondigital.org/concern/images/df66tx56b"" target=""_blank"">J.F. Ford Photographs - Oregon Digital</a>",Image; Still Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Family in front of a house in a logging camp,"" John Fletcher Ford. 1910, Oregon State University Libraries and Press, Oregon. Oregon Digital, J.F. Ford Photographs, <a href='https://oregondigital.org/concern/images/df66tx56b' target='_blank'>https://oregondigital.org/concern/images/df66tx56b</a>","<a href=""https://web.archive.org/web/20230521222454/https://oregondigital.org/concern/images/df66tx56b"" target=""_blank"">Archived Page</a>"
staggs_image_interiorsawmill,"Postcard: Interior of an Oregon sawmill, log on a carriage",staggs_image_interiorsawmill.jpg,image/jpeg,Gerald W. Williams,1910,1910,Several loggers are surrounding a log that has been placed on a sawmill in a hand colored photograph on a postcard.,Postcard; Forests and forestry—Equipment and supplies; Workers; Logging,Coos (county),43.242897,-124.105737,"<a href=""https://oregondigital.org/concern/images/df66v505g"" target=""_blank"">Gerald W. Williams Collection - Oregon Digital</a>",Image; Still Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Postcard: Interior of an Oregon sawmill, log on a carriage,"" Gerald W. Williams. 1910, Oregon State University Libraries and Press, Oregon. Oregon Digital, Gerald W. Williams Collection, <a href='https://oregondigital.org/concern/images/df66v505g' target='_blank'>https://oregondigital.org/concern/images/df66v505g</a>","<a href=""https://web.archive.org/web/20230521222815/https://oregondigital.org/concern/images/df66v505g"" target=""_blank"">Archived Page</a>"
staggs_image_logsrailroadcar,Postcard: Logs on a railroad car,staggs_image_logsrailroadcar.jpg,image/jpeg,Gerald W. Williams,1915,1915,The front of a postcard shows three logs that have been loaded onto a railroad cart. The railroad cart is sitting on a set of railroad tracks.,Postcard; Logging railroads,Coos (county),43.242897,-124.105737,"<a href=""https://oregondigital.org/concern/images/df66v429v"" target=""_blank"">Gerald W. Williams Collection - Oregon Digital</a>",Image; Still Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Logs on a railroad car,"" Gerald W. Williams. 1915, Oregon State University Libraries and Press, Oregon. Oregon Digital, Gerald W. Williams Collection, <a href='https://oregondigital.org/concern/images/df66v429v' target='_blank'>https://oregondigital.org/concern/images/df66v429v</a>","<a href=""https://web.archive.org/web/20230521231345/https://oregondigital.org/concern/images/df66v429v"" target=""_blank"">Archived Page</a>"
staggs_image_palmercamp,"Palmer Camp at Lookingglass, Oregon",staggs_image_palmercamp.jpg,image/jpeg,Gerald W. Williams,1908,1908,Several loggers and their horses are gathered in the center of the Palmer Camp lumber camp. There is a steam engine train in the background that runs through the camp.,Lumber Camps; Animals in logging; Railroad trains,Lookingglass (inhabited place),43.1786109,-123.485,"<a href=""https://oregondigital.org/concern/images/df66w515w"" target=""_blank"">Gerald W. Williams Collection - Oregon Digital</a>",Image; Still Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Palmer Camp at Lookingglass, Oregon,"" Gerald W. Williams. 1908, Oregon State University Libraries and Press, Oregon. Oregon Digital, Gerald W. Williams Collection, <a href='https://oregondigital.org/concern/images/df66w515w' target='_blank'>https://oregondigital.org/concern/images/df66w515w</a>","<a href=""https://web.archive.org/web/20230521231006/https://oregondigital.org/concern/images/df66w515w"" target=""_blank"">Archived Page</a>"
staggs_image_railroadlogsverso_002,Postcard - Verso: Railroad car with logs,staggs_image_railroadlogsverso_002.jpg,image/jpeg,Gerald W. Williams,1908,1908,"This is the backside of a postcard. The writing describes the location of the image on the front of the postcard, where that is in relation to the writer's location, and the types of logs in the image.",Postcard; Logging,Portland (inhabited place),45.515232,-122.6783853,"<a href=""https://oregondigital.org/concern/images/df66tx285"" target=""_blank"">Gerald W. Williams Collection - Oregon Digital</a>",Image; Still Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Postcard - Verso: Railroad car with logs"" Gerald W. Williams. 1908, Oregon State University Libraries and Press, Oregon. Oregon Digital, Gerald W. Williams Collection, <a href='https://oregondigital.org/concern/images/df66tx285' target='_blank'>https://oregondigital.org/concern/images/df66tx285</a>","<a href=""https://web.archive.org/web/20230521231558/https://oregondigital.org/concern/images/df66tx285"" target=""_blank"">Archived Page</a>"
staggs_image_sprucelogjack,A spruce log on a log jack,staggs_image_sprucelogjack.jpg,image/jpeg,Corydon P. Cronk,1911,1910/1911,"In this image, a spruce log is resting on a log jack. The sawmill where the photograph was taken is Smith Mill, located in what was once Marshfield, OR - known today as Coos Bay, OR.",Forests and forestry—Equipment and supplies; Conifers; Logging,Coos Bay (inhabited place),43.3672213,-124.2131325,"<a href=""https://oregondigital.org/concern/images/df67q7840"" target=""_blank"">The Siuslaw National Forest Collection - Oregon Digital</a>",Image; Still Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""A spruce log on a log jacks,"" Corydon P. Cronk. 1910/1911, Oregon State University Libraries and Press, Oregon. Oregon Digital, The Siuslaw National Forest Collection, <a href='https://oregondigital.org/concern/images/df67q7840' target='_blank'>https://oregondigital.org/concern/images/df67q7840</a>","<a href=""https://web.archive.org/web/20230521231727/https://oregondigital.org/concern/images/df67q7840"" target=""_blank"">Archived Page</a>"
staggs_image_donkeyengine,Men surrounding a donkey engine,staggs_image_donkeyengine.jpg,image/jpeg,Gerald W. Williams,1915,1915,"The image shows several loggers standing around a donkey engine - a piece of equipment used to lift, drag, move, and load logs. In the background there are several trees that seem to have been cut down and several pieces of chopped wood. There are also two donkeys standing on the side of the men.",Forests and forestry—Equipment and supplies; Logging; Animals in logging; Workers,Multnomah (county),45.5145659,-122.5863211,"<a href=""https://oregondigital.org/concern/images/df66vb91k"" target=""_blank"">Gerald W. Williams Collection - Oregon Digital</a>",Image; Still Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Men surrounding a donkey engine,"" Gerald W. Williams. 1915, Oregon State University Libraries and Press, Oregon. Oregon Digital, Gerald W. Williams Collection, <a href='https://oregondigital.org/concern/images/df66vb91k' target='_blank'>https://oregondigital.org/concern/images/df66vb91k</a>","<a href=""https://web.archive.org/web/20230521231900/https://oregondigital.org/concern/images/df66vb91k"" target=""_blank"">Archived Page</a>"
lucero_image_beavercreekschool,"Beaver Creek School, community workday",lucero_image_beavercreekschool.jpg,image/jpeg,Rogue River-Siskiyou National Forest Agency,1925,1925,A group of students posing for a picture during their community volunteer work day in which they worked in forest environmental protection.,Forestry schools and education,Beaver Creek (inhabited place),45.28460988,-122.5171674,"<a href=""https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/112"" target=""_blank"">Rogue River National Forest Historic Images - Southern Oregon Digital Archives</a>",Image; Still Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>","Please provide the following credit required by the Memorandum of Understanding between Hannon Library and the Rogue River-Siskiyou National Forest: “This photograph is part of the Historical Records Collection of the Rogue River National Forest, and made available courtesy of Southern Oregon University Hannon Library.” See also: <a href=""http://soda.sou.edu/copyright.html""target=""_blank"">http://soda.sou.edu/copyright.html</a>","""Beaver Creek School, community workday,"" Rogue River-Siskiyou National Forest Agency. 1925, Southern Oregon University, Oregon. Southern Oregon Digital Archives, Rogue River National Forest Historic Images, <a href='https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/112' target='_blank'>https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/112</a>","<a href=""https://web.archive.org/web/20230522202500/https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/112"" target=""_blank"">Archived Page</a>"
lucero_image_loggerstape,Logger's tape,lucero_image_loggerstape.jpg,image/jpeg,Rogue River-Siskiyou National Forest Agency,1972,1972,A roll of logger's tape engraved with the words 'Spencer Loggers Tape' on a blank black background.,Forests and forestry—Equipment and supplies,,,,"<a href=""https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/473"" target=""_blank"">Rogue River National Forest Historic Images - Southern Oregon Digital Archives</a>",Image; Still Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>","Please provide the following credit required by the Memorandum of Understanding between Hannon Library and the Rogue River-Siskiyou National Forest: “This photograph is part of the Historical Records Collection of the Rogue River National Forest, and made available courtesy of Southern Oregon University Hannon Library.” See also: <a href=""http://soda.sou.edu/copyright.html""target=""_blank"">http://soda.sou.edu/copyright.html</a>","""Logger's Tape,"" Rogue River-Siskiyou National Forest Agency. 1972, Southern Oregon University, Oregon. Southern Oregon Digital Archives, Rogue River National Forest Historic Images, <a href='https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/473' target='_blank'>https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/473</a>","<a href=""https://web.archive.org/web/20230522202927/https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/473"" target=""_blank"">Archived Page</a>"
lucero_image_oldgrowthfir,Old-growth fir stand being viewed by unidentified man,lucero_image_oldgrowthfir.jpg,image/jpeg,Rogue River-Siskiyou National Forest Agency,1945,1945,A man inspects an old-growth fir stand in a forest with his car behind him.,Conifers; Workers; Foresters,Rogue River National Forest (forest),42.06236385,-123.9387952,"<a href=""https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/468"" target=""_blank"">Rogue River National Forest Historic Images - Southern Oregon Digital Archives</a>",Image; Still Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>","Please provide the following credit required by the Memorandum of Understanding between Hannon Library and the Rogue River-Siskiyou National Forest: “This photograph is part of the Historical Records Collection of the Rogue River National Forest, and made available courtesy of Southern Oregon University Hannon Library.” See also: <a href=""http://soda.sou.edu/copyright.html""target=""_blank"">http://soda.sou.edu/copyright.html</a>","""Old-growth fir stand being viewed by unidentified man,"" Rogue River-Siskiyou National Forest Agency. 1945, Southern Oregon University, Oregon. Southern Oregon Digital Archives, Rogue River National Forest Historic Images, <a href='https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/468' target='_blank'>https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/468</a>","<a href=""https://web.archive.org/web/20230522205035/https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/468"" target=""_blank"">Archived Page</a>"
lucero_image_pilingandburning,Piling and burning slash,lucero_image_pilingandburning.jpg,image/jpeg,Rogue River-Siskiyou National Forest Agency,1930,1930,Two workers swing axes through piles of burnt wood in a forest.,Workers; Logging,Rogue River National Forest (forest),42.06236385,-123.9387952,"<a href=""https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/453"" target=""_blank"">Rogue River National Forest Historic Images - Southern Oregon Digital Archives</a>",Image; Still Image,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>","Please provide the following credit required by the Memorandum of Understanding between Hannon Library and the Rogue River-Siskiyou National Forest: “This photograph is part of the Historical Records Collection of the Rogue River National Forest, and made available courtesy of Southern Oregon University Hannon Library.” See also: <a href=""http://soda.sou.edu/copyright.html""target=""_blank"">http://soda.sou.edu/copyright.html</a>","""Piling and burning slash,"" Rogue River-Siskiyou National Forest Agency. 1930, Southern Oregon University, Oregon. Southern Oregon Digital Archives, Rogue River National Forest Historic Images, <a href='https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/453'target='_blank'>https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/453</a>","<a href=""https://web.archive.org/web/20230522211809/https://cdm16085.contentdm.oclc.org/digital/collection/p15013coll4/id/453"" target=""_blank"">Archived Page</a>"